TN,Un Number,PSN,Class,SubClass,PG,Spec Prov,Packing Para,
*,UN 3518,"ADSORBED GAS, TOXIC, OXIDIZING,
CORROSIVE N.O.S. Inhalation Hazard Zone D",2.3,"5.1, 8",,"P2, 4",A6.27,
*,UN 3512,"ADSORBED GAS, TOXIC N.O.S. Inhalation Hazard Zone C",2.3,,,"P2, 3",A6.27,
*,UN 3512,"ADSORBED GAS, TOXIC N.O.S. Inhalation Hazard Zone D",2.3,,,"P2, 4",A6.27,
,UN1950,"AEROSOLS or AEROSOLS, FLAMMABLE",2.1,,,P5,A6.2.,
,,"AEROSOLS, flammable, containing substances in
Class 8, Packing Group I",,,,,FORBIDDEN,
,UN1950,"AEROSOLS, flammable, containing substances in
Class 8, Packing Group II",,,,,FORBIDDEN,
,UN1950,"AEROSOLS, flammable, containing substances in
Class 8, Packing Group III",2.1,8,,P5,A6.2,
,UN1950,"AEROSOLS, flammable, containing substances in
Division 6.1, Packing Group I",,,,,FORBIDDEN,
,UN1950,"AEROSOLS, flammable containing substances in Division 6.1, Packing Group II",,,,,FORBIDDEN,
,UN1950,"AEROSOLS, flammable containing substances in Division 6.1, Packing Group III",2.1,6.1,,P5,A6.2,
,UN1950,"AEROSOLS, flammable, containing substances in Division 6.1, Packing Group III and substances in Class
8, Packing Group III",2.1,"6.1, 8",,P5,A6.2.,
,UN1950,"AEROSOLS, flammable, containing toxic gas",2.3,2.1,,,FORBIDDEN,
,UN1950,"AEROSOLS, FLAMMABLE (ENGINE STARTING FLUID) or AEROSOLS, FLAMMABLE, N.O.S.
(engine starting fluid)",2.1,,,P5,A6.2,
,UN1950,"AEROSOLS or AEROSOLS, NON-FLAMMABLE",2.2,,,P5,A6.2.,
,UN1950,"AEROSOLS, NON-FLAMMABLE (containing biological products or a medicinal preparation which
will be deteriorated by a heat test)",2.2,,,P5,A6.2.,
,UN1950,"AEROSOLS, non-flammable, (tear gas devices)",2.2,6.1,,P5,A6.2.,
,UN1950,"AEROSOLS, non-flammable, containing substances in
Class 8, Packing Group I",2.2,8,,,FORBIDDEN,
,UN1950,"AEROSOLS, non-flammable, containing substances in
Class 8, Packing Group II",2.2,8,,,FORBIDDEN,
,UN1950,"AEROSOLS, non-flammable, containing substances in
Class 8, Packing Group III",2.2,8,,P5,A6.2,
,UN1950,"AEROSOLS, non-flammable, containing substances in Division 6.1, Packing Group I or II",,,,,FORBIDDEN,
,UN1950,"AEROSOLS, non-flammable, containing substances in Division 6.1, Packing Group III",2.2,6.1,,P5,A6.2,
,UN1950,"AEROSOLS, non-flammable, containing substances in
Division 6.1, Packing Group III and substances in Class 8, Packing Group III",2.2,"6.1, 8",,P5,A6.2.,
,UN1950,"AEROSOLS, non-flammable, containing toxic gas",2.3,,,,FORBIDDEN,
,UN1950,"AEROSOLS, non-flammable, oxidizing",2.2,5.1,,P5,A6.2,
,UN0331,"AGENT, BLASTING TYPE B",1.5D,,,"P4, 105, 106,
A69",A5.11.,
,UN0332,"AGENT, BLASTING TYPE E",1.5D,,,"P4, 105, 106, A69",A5.11.,
,,"air bag inflators or air bag modules or seat-belt
pretensioners, see SAFETY DEVICES, electrically initiated, or  SAFETY DEVICES, pyrotechnic",,,,,,
,UN1002,"AIR, COMPRESSED",2.2,,,"P5, A124","A6.3., A6.5.",
,UN1003,"AIR, REFRIGERATED LIQUID (cryogenic liquid)",2.2,5.1,,P4,A6.11.,
,UN1003,"AIR, REFRIGERATED LIQUID (cryogenic liquid)
non-pressurized",2.2,5.1,,P4,A6.11.,
,,"Aircraft, see VEHICLE, FLAMMABLE GAS POWERED or VEHICLE FLAMMABLE LIQUID
POWERED",,,,,,
,,"Aircraft Engines (including turbines), see ENGINES, INTERNAL COMBUSTION, FLAMMABLE GAS POWERED, or ENGINES INTERNAL COMBUSTION, FLAMMABLE LIQUID
POWERED",,,,,,
,,"Aircraft evacuation slides or Aircraft survival kits, see LIFE-SAVING APPLIANCES, SELF-INFLATING or LIFE-SAVING APPLIANCES, NOT SELF-
INFLATING",,,,,,
,UN3165,"AIRCRAFT HYDRAULIC POWER UNIT FUEL
TANK (containing a mixture of anhydrous hydrazine
and monomethyl hydrazine) (M86 fuel)",3,"6.1, 8",I,"P3, A501",A7.4.,
*,UN3274,"ALCOHOLATES SOLUTION, N.O.S. in alcohol",3,8,II,P5,A7.2.,
,,"Alcohol, denatured, see ALCOHOLS, FLAMMABLE TOXIC or ALCOHOLS, N.O.S.",,,,,,
,UN3065,ALCOHOLIC BEVERAGES,3,,II III,P5 P5,"A7.2.
A7.2.",
,,"Alcohol, industrial, see ALCOHOLS, FLAMMABLE, TOXIC, N.O.S. or ALCOHOLS, N.O.S.",,,,,,
*,UN1987,"ALCOHOLS, N.O.S.",3,,"I
II III","P3
P5 P5","A7.2.
A7.2.
A7.2.",
*,UN1986,"ALCOHOLS, FLAMMABLE, TOXIC, N.O.S.",3,"6.1
6.1
6.1",I II III,P3 P4 P5,"A7.2.
A7.2.
A7.2.",
,,"Aldehyde, see ACETALDEHYDE",,,,,,
,,"Aldehyde ammonia, see ACETALDEHYDE
AMMONIA",,,,,,
*,UN1989,"ALDEHYDES, N.O.S.",3,,"I II
III","P3 P5
P5","A7.2.
A7.2.
A7.2.",
*,UN1988,"ALDEHYDES, FLAMMABLE, TOXIC, N.O.S",3,"6.1
6.1
6.1","I
II III","P3
P4 P5","A7.2.
A7.2.
A7.2.",
,UN2839,ALDOL,6.1,,II,P5,A10.4.,
*,UN3206,"ALKALI METAL ALCOHOLATES, SELF- HEATING, CORROSIVE, N.O.S.",4.2,"8
8","II
III","P4
P5","A8.3.
A8.3.",
,UN1421,"ALKALI METAL ALLOYS, LIQUID, N.O.S",4.3,,I,"P3, A2, A7,
N34",A8.2.,
,UN1389,"ALKALI METAL AMALGAM, LIQUID",4.3,,I,"P3, A2, A7,
N34",A8.2.,
,UN3401,"ALKALI METAL AMALGAM, SOLID",4.3,,I,"P3, N40",A8.3.,
,UN1390,ALKALI METAL AMIDES,4.3,,II,"P5, A6, A7, A8, A19, A20",A8.3.,
,UN1391,ALKALI METAL DISPERSIONS or ALKALINE EARTH METAL DISPERSIONS,4.3,,I,"P3, A2, A7",A8.2.,
,UN3482,"ALKALI METAL DISPERSIONS, FLAMMABLE
or ALKALINE EARTH METAL DISPERSIONS, FLAMMABLE",4.3,3,I,"P3, A2, A7",A8.2.,
,,"Alkaline corrosive battery fluid, see BATTERY
FLUID, ALKALI",,,,,,
,,"Alkaline corrosive liquids, N.O.S., see CAUSTIC
ALKALI LIQUIDS, N.O.S.",,,,,,
,,"Alkaline corrosive solid N.O.S., see CORROSIVE SOLID, BASIC, INORGANIC, N.O.S. or
CORROSIVE SOLID, BASIC ORGANIC, N.O.S.",,,,,,
*,UN3205,"ALKALINE EARTH METAL ALCOHOLATES, N.O.S",4.2,,"II
III","P4, A7
P5, A7","A8.3.
A8.3.",
,UN1393,"ALKALINE EARTH METAL ALLOYS, N.O.S.",4.3,,II,"P5, A19",A8.3.,
,UN1392,"ALKALINE EARTH METAL AMALGAMS
LIQUID",4.3,,I,"P3, A19, N34,
N40",A8.2.,
,UN3402,ALKALINE EARTH METAL AMALGAMS SOLID,4.3,,I,"P3, A19, N34,
N40",A8.3,
*,UN3140,"ALKALOIDS, LIQUID, N.O.S. or ALKALOID
SALTS, LIQUID, N.O.S.",6.1,,"I
II III","P3, A4
P5 P5","A10.4.
A10.4.
A10.4.",
*,UN1544,"ALKALOIDS, SOLID, N.O.S. or ALKALOID SALTS, SOLID, N.O.S.",6.1,,"I II
III","P5 P5
P5","A10.5.
A10.5.
A10.5.",
,UN3145,"ALKYLPHENOLS, LIQUID, N.O.S. (including C2-
C12 homologues)",8,,"I II
III","P3 P5
P5","A12.2.
A12.2.
A12.2.",
,UN2430,"ALKYLPHENOLS, SOLID, N.O.S. (including C2-
C12 homologues)",8,,"I II
III","P5 P5
P5","A12.3.
A12.3.
A12.3.",
,UN2584,"ALKYLSULFONIC ACIDS, LIQUID or
ARYLSULFONIC ACIDS, LIQUID with more than 5% free sulphuric acid",8,,II,P5,A12.2.,
,UN2586,"ALKYLSULFONIC ACIDS, LIQUID or
ARYLSULFONIC ACIDS, LIQUID with not more than 5% free sulfuric acid",8,,III,P5,A12.2.,
,UN2583,"ALKYLSULFONIC ACIDS, SOLID, or
ARYLSULFONIC ACIDS, SOLID, with more than 5% free sulfuric acid",8,,II,P5,A12.3.,
,UN2585,"ALKYLSULFONIC ACIDS, SOLID, or
ARYLSULFONIC ACIDS, SOLID, with not more than 5% free sulfuric acid",8,,III,P5,A12.3.,
,UN2571,ALKYLSULFURIC ACIDS,8,,II,P4,A12.2.,
,,"Allene, see PROPADIENE, STABILIZED",,,,,,
,,"Allethrin, see PESTICIDES, LIQUID, TOXIC, N.O.S.",,,,,,
,UN2333,ALLYL ACETATE,3,6.1,II,P4,A7.2.,
,UN1098,ALLYL ALCOHOL,6.1,3,I,"P2, 2",A10.6.,
,UN2334,ALLYLAMINE,6.1,3,I,"P2, 2",A10.6.,
,UN1099,ALLYL BROMIDE,3,6.1,I,P3,A7.2.,
,UN1100,ALLYL CHLORIDE,3,6.1,I,P3,A7.2.,
,,"Allyl chlorocarbonate, see ALLYL
CHLOROFORMATE",,,,,,
,UN1722,ALLYL CHLOROFORMATE,6.1,"3, 8",I,"P2, 2, N41",A10.6.,
,UN2335,ALLYL ETHYL ETHER,3,6.1,II,P4,A7.2.,
,UN2336,ALLYL FORMATE,3,6.1,I,P3,A7.2.,
,UN2219,ALLYL GLYCIDYL ETHER,3,,III,P5,A7.2.,
,UN1723,ALLYL IODIDE,3,8,II,"P5,A3,N34",A7.2.,
,UN1545,"ALLYL ISOTHIOCYANATE, STABILIZED",6.1,3,II,"P4, 387, A3, A7",A10.4.,
,,"Allyl Isothiocyanate, unstabilized",,,,,FORBIDDEN,
,UN1724,"ALLYLTRICHLOROSILANE, STABILIZED",8,3,II,"P5, 387, A7,
N34",A12.2.,
,,"Allyltrichlorosilane, unstabilized",,,,,FORBIDDEN,
,UN2870,"ALUMINIUM BOROHYDRIDE or ALUMINIUM
BOROHYDRIDE IN DEVICES",4.2,4.3,I,P3,A8.5.,
,UN1725,"ALUMINIUM BROMIDE, ANHYDROUS",8,,II,P5,A12.3.,
,UN2580,"ALUMINIUM BROMIDE, SOLUTION",8,,III,P5,A12.2.,
,UN1394,ALUMINIUM CARBIDE,4.3,,II,"P4, A20, N41",A8.3.,
,UN1726,"ALUMINIUM CHLORIDE, ANHYDROUS",8,,II,P5,A12.3.,
,UN2581,"ALUMINIUM CHLORIDE, SOLUTION",8,,III,P5,A12.2.,
,,"Aluminum dross, see ALUMINUM SMELTING BY- PRODUCTS or ALUMINUM REMELTING BY-
PRODUCTS",,,,,,
,,"Aluminum dross, wet or hot",,,,,FORBIDDEN,
,UN1395,ALUMINIUM FERROSILICON POWDER,4.3,"6.1
6.1","II
III","P4, A19
P5, A19, A20","A8.3.
A8.3.",
,UN2463,ALUMINIUM HYDRIDE,4.3,,I,"P3, A19, N40",A8.3.,
,,"Aluminum liquid or aluminum paint, see PAINT",,,,,,
D,NA9260,"ALUMINUM, MOLTEN",9,,,,FORBIDDEN,
,UN1438,ALUMINIUM NITRATE,5.1,,III,"P5, A1, A29",A9.6.,
,,"Aluminium phosphate solution, see CORROSIVE
LIQUIDS, N.O.S.",,,,,,
,UN1397,ALUMINIUM PHOSPHIDE,4.3,6.1,I,"P3,A8,A19,N 40",A8.3.,
,UN3048,ALUMINIUM PHOSPHIDE PESTICIDES,6.1,,I,"P5, A8",A10.5.,
,UN1309,"ALUMINIUM POWDER, COATED",4.1,,"II
III","P5
P5","A8.3.
A8.3.",
,UN1396,"ALUMINIUM POWDER, UNCOATED",4.3,,"II
III","P4, A19, A20
P5, A19, A20","A8.3.
A8.3.",
,UN2715,ALUMINIUM RESINATE,4.1,,III,P5,A8.3.,
,UN1398,"ALUMINIUM SILICON POWDER, UNCOATED",4.3,,III,"P5, A1, A19",A8.3.,
,UN3170,"ALUMINIUM SMELTING BY-PRODUCTS or
ALUMINIUM REMELTING BY-PRODUCTS",4.3,,II III,P4 P5,"A8.3.
A8.3.",
,,"Amatols, see EXPLOSIVE, BLASTING, TYPE B",,,,,,
*,UN2733,"AMINES, FLAMMABLE, CORROSIVE N.O.S. or
POLYAMINES, FLAMMABLE, CORROSIVE N.O.S.",3,"8
8
8","I
II III","P3
P4 P4","A7.2.
A7.2.
A7.2.",
*,UN2734,"AMINES, LIQUID, CORROSIVE, FLAMMABLE
N.O.S. or POLYAMINES, LIQUID, CORROSIVE, FLAMMABLE, N.O.S.",8,"3
3","I
II","P3, N34 P4","A12.2.
A12.2.",
*,UN2735,"AMINES, LIQUID, CORROSIVE, N.O.S. or
POLYAMINES, LIQUID, CORROSIVE, N.O.S.",8,,"I
II III","P3, N34 P4
P5","A12.2.
A12.2.
A12.2.",
*,UN3259,"AMINES, SOLID, CORROSIVE, N.O.S. or
POLYAMINES, SOLID, CORROSIVE N.O.S.",8,,I II III,P5 P5 P5,"A12.3.
A12.3.
A12.3.",
,UN2673,2-AMINO-4-CHLOROPHENOL,6.1,,II,P5,A10.5.,
,UN3317,"2-AMINO-4, 6-DINITROPHENOL, WETTED with
not less than 20% water by mass",4.1,,I,"P4, 23, A8, A19, A20,
N41",A8.3.,
,UN2946,2-AMINO-5-DIETHYLAMINOPENTANE,6.1,,III,P5,A10.4.,
,UN3055,2-(2-AMINOETHOXY) ETHANOL,8,,III,P5,A12.2.,
,UN2815,N-AMINOETHYLPIPERAZINE,8,6.1,III,P5,A12.2.,
,,"1-Amino-2-nitrobenzene or 1-Amino-3-nitrobenzene or
1-Amino-4-nitrobenzene, see NITROANILINES",,,,,,
,UN2512,AMINOPHENOLS (o-; m-; p-),6.1,,III,P5,A10.5.,
,,"Aminopropyldiethanolamine or n- Aminopropylmorpholine, see AMINES, LIQUID,
CORROSIVE, N.O.S., etc.",,,,,,
,UN2671,AMINOPYRIDINES (o-; m-; p),6.1,,II,P5,A10.5.,
D,UN1005,"AMMONIA, ANHYDROUS",2.2,,,"P2, 13",A6.4.,
,UN1005,"AMMONIA, ANHYDROUS",2.3,8,,"P2, 4, 13, N87",A6.4.,
D,UN3318,"AMMONIA SOLUTION , relative density less than 0.880 at 15 degrees C in water, with more than 50% ammonia",2.2,,,"P2, 13",A6.4.,
,UN3318,"AMMONIA SOLUTION, relative density less than
0.880 at 15 degrees C in water, with more than 50% ammonia",2.3,8,,"P2, 4 , N87",A6.4.,
,UN2672,"AMMONIA SOLUTION, relative density between
0.880 and 0.957 at 15 degrees C in water, with  more than 10%, but not more than 35%  ammonia",8,,III,P5,A12.2.,
,UN2073,"AMMONIA SOLUTION, relative density less than 0.880 at 15 degrees C in water, with more than 35%, but not more than 50%  ammonia",2.2,,,"P5, N87","A6.3., A6.4.",
,UN1546,AMMONIUM ARSENATE,6.1,,II,P5,A10.5.,
,,Ammonium azide,,,,,FORBIDDEN,
,,"Ammonium bichromate, see AMMONIUM
DICHROMATE",,,,,,
,,"Ammonium bifluoride, solid, see AMMONIUM
HYDROGENDIFLUORIDE, SOLID",,,,,,
,,"Ammonium bifluoride, solution, see AMMONIUM
HYDROGENDIFLUORIDE, SOLUTION",,,,,,
,,"Ammonium bisulphate, see AMMONIUM
HYDROGEN  SULPHATE",,,,,,
,,"Ammonium bisulfite, see BISULFITES, AQUEOUS SOLUTION, N.O.S.",,,,,,
,,Ammonium bromate,,,,,FORBIDDEN,
,,Ammonium chlorate,,,,,FORBIDDEN,
,UN1439,AMMONIUM DICHROMATE,5.1,,II,P5,A9.6.,
,UN1843,"AMMONIUM DINITRO-O-CRESOLATE, SOLID",6.1,,II,P5,A10.5.,
,UN3424,"AMMONIUM DINITRO-O-CRESOLATE, SOLUTION",6.1,,II III,P5 P5,A10.4 A10.4,
,UN2505,AMMONIUM FLUORIDE,6.1,,III,P5,A10.5.,
,UN2854,AMMONIUM FLUOROSILICATE,6.l,,III,P5,A10.5.,
,,Ammonium fulminate,,,,,FORBIDDEN,
,,"Ammonium hexafluorosilicate, see AMMONIUM FLUOROSILICATE",,,,,,
,,"Ammonium hydrate, see AMMONIA  SOLUTIONS,
etc.",,,,,,
,UN2506,AMMONIUM HYDROGEN SULPHATE,8,,II,P5,A12.3.,
,UN1727,"AMMONIUM HYDROGENDIFLUORIDE, SOLID",8,,II,"P5, N34",A12.3.,
,UN2817,"AMMONIUM HYDROGENDIFLUORIDE,
SOLUTION",8,"6.1
6.1","II
III","P4, N34
P5, N3","A12.2.
A12.2.",
,,"Ammonium hydrosulphide solution, see AMMONIUM
SULPHIDE SOLUTION",,,,,,
,,"Ammonium hydroxide, see AMMONIA SOLUTION,
etc.",,,,,,
,,"Ammonium hydroxide, see AMMONIA SOLUTION,
etc.",,,,,,
,UN2859,AMMONIUM METAVANADATE,6.1,,II,P5,A10.5.,
,UN0222,"AMMONIUM NITRATE, with more than 0.2% combustible substances, including any organic substance calculated as carbon to the exclusion of any
other added substance",1.1D,,,"P4, A69",A5.7.,
,UN1942,"AMMONIUM NITRATE, with not more than 0.2% total combustible  material, including any organic substance calculated as carbon, to the exclusion of any
other added substance",5.1,,III,"P5, A1, A29",A9.6.,
,UN2067,AMMONIUM NITRATE BASED FERTILIZER,5.1,,III,"P5,",A9.6.,
,UN2071,AMMONIUM NITRATE BASED FERTILIZER,9,,III,"P5, 132",A13.2.,
,UN3375,"AMMONIUM NITRATE EMULSION, or
AMMONIUM NITRATE SUSPENSION, or
AMMONIUM NITRATE GEL, intermediate for blasting explosives",5.1,,II,,FORBIDDEN,
,UN2426,"AMMONIUM NITRATE, LIQUID (hot concentrated
solution)",5.1,,,,FORBIDDEN,
,,"Ammonium nitrate explosives, see EXPLOSIVE, BLASTING, TYPE B",,,,,,
D,NA0331,"AMMONIUM NITRATE-FUEL OIL MIXTURE
(containing only prilled Ammonium Nitrate and fuel oil)",1.5D,,,P4,A5.11.,
,UN2426,"AMMONIUM NITRATE LIQUID, hot concentrated solution",5.1,,,,FORBIDDEN,
,,Ammonium nitrite,,,,,FORBIDDEN,
,UN0402,AMMONIUM PERCHLORATE,1.1D,,,"P4, 107",A5.7.,
,UN1442,AMMONIUM PERCHLORATE,5.1,,II,"P5, 107, A9",A9.6.,
,,Ammonium Permanganate,,,,,FORBIDDEN,
,UN1444,AMMONIUM PERSULPHATE,5.1,,III,"P5, A1, A29",A9.6.,
,UN0004,"AMMONIUM PICRATE, dry or wetted with less than
10% water, by mass",1.1D,,,P4,A5.6.,
,UN1310,"AMMONIUM PICRATE, WETTED with not less
than 10% water, by mass",4.1,,I,"P4, 23, A2,
N41",A8.3.,
,UN2818,"AMMONIUM POLYSULPHIDE, SOLUTION",8,"6.1
6.1",II III,P4 P5,"A12.2.
A12.2.",
,UN2861,AMMONIUM POLYVANADATE,6.1,,II,P5,A10.5.,
,,"Ammonium silicofluoride, see AMMONIUM
FLUOROSILICATE",,,,,,
,UN2683,AMMONIUM SULPHIDE SOLUTION,8,"6.1, 3",II,P4,A12.2.,
,,"Ammonium tetrachloromercurate, see  MERCURY
AMMONIUM CHLORIDE",,,,,,
